Estimator,relationship,Relatedness_Value,,,,
QGM,Half-Sibs,0.4671,0.25,,,
QGM,Half-Sibs,0.2209,0.25,,,
QGM,Half-Sibs,0.1958,0.25,,,
QGM,Half-Sibs,0.1963,0.25,,,
QGM,Half-Sibs,0.0984,0.25,,,
QGM,Half-Sibs,0.2845,0.25,,,
QGM,Half-Sibs,0.1441,0.25,,,
QGM,Half-Sibs,0.208,0.25,,,
QGM,Half-Sibs,-0.1027,0.25,,,
QGM,Half-Sibs,0.1873,0.25,,,
QGM,Half-Sibs,0.1979,0.25,,,
QGM,Half-Sibs,0.4274,0.25,,,
QGM,Half-Sibs,-0.1011,0.25,,,
QGM,Half-Sibs,0.2571,0.25,,,
QGM,Half-Sibs,0.1242,0.25,,,
QGM,Half-Sibs,0.3818,0.25,,,
QGM,Half-Sibs,0.1666,0.25,,,
QGM,Half-Sibs,0.2857,0.25,,,
QGM,Half-Sibs,0.3617,0.25,,,
QGM,Half-Sibs,0.3287,0.25,,,
QGM,Half-Sibs,0.3275,0.25,,,
QGM,Half-Sibs,0.3299,0.25,,,
QGM,Half-Sibs,0.2707,0.25,,,
QGM,Half-Sibs,0.2586,0.25,,,
QGM,Half-Sibs,0.2261,0.25,,,
QGM,Half-Sibs,0.1951,0.25,,,
QGM,Half-Sibs,0.1114,0.25,,,
QGM,Half-Sibs,0.2183,0.25,,,
QGM,Half-Sibs,-0.2304,0.25,,,
QGM,Half-Sibs,0.0261,0.25,,,
QGM,Half-Sibs,0.2704,0.25,,,
QGM,Half-Sibs,0.4797,0.25,,,
QGM,Half-Sibs,0.198,0.25,,,
QGM,Half-Sibs,0.2681,0.25,,,
QGM,Half-Sibs,0.3208,0.25,,,
QGM,Half-Sibs,0.2713,0.25,,,
QGM,Half-Sibs,0.54,0.25,,,
QGM,Half-Sibs,0.1606,0.25,,,
QGM,Half-Sibs,0.2262,0.25,,,
QGM,Half-Sibs,0.3399,0.25,,,
QGM,Half-Sibs,0.3155,0.25,,,
QGM,Half-Sibs,0.3335,0.25,,,
QGM,Half-Sibs,0.1717,0.25,,,
QGM,Half-Sibs,0.3575,0.25,,,
QGM,Half-Sibs,0.2775,0.25,,,
QGM,Half-Sibs,0.1539,0.25,,,
QGM,Half-Sibs,0.3612,0.25,,,
QGM,Half-Sibs,-0.0107,0.25,,,
QGM,Half-Sibs,0.2579,0.25,,,
QGM,Half-Sibs,0.2339,0.25,,,
QGM,Half-Sibs,0.2451,0.25,,,
QGM,Half-Sibs,0.3212,0.25,,,
QGM,Half-Sibs,0.1228,0.25,,,
QGM,Half-Sibs,0.3502,0.25,,,
QGM,Half-Sibs,0.3627,0.25,,,
QGM,Half-Sibs,-0.0236,0.25,,,
QGM,Half-Sibs,0.4391,0.25,,,
QGM,Half-Sibs,0.4363,0.25,,,
QGM,Half-Sibs,0.2633,0.25,,,
QGM,Half-Sibs,0.1354,0.25,,,
QGM,Half-Sibs,0.0522,0.25,,,
QGM,Half-Sibs,0.2095,0.25,,,
QGM,Half-Sibs,0.3553,0.25,,,
QGM,Half-Sibs,0.1772,0.25,,,
QGM,Half-Sibs,0.252,0.25,,,
QGM,Half-Sibs,0.1703,0.25,,,
QGM,Half-Sibs,0.0824,0.25,,,
QGM,Half-Sibs,0.4328,0.25,,,
QGM,Half-Sibs,0.2849,0.25,,,
QGM,Half-Sibs,0.361,0.25,,,
QGM,Half-Sibs,0.1874,0.25,,,
QGM,Half-Sibs,0.4054,0.25,,,
QGM,Half-Sibs,0.3339,0.25,,,
QGM,Half-Sibs,0.1873,0.25,,,
QGM,Half-Sibs,0.463,0.25,,,
QGM,Half-Sibs,0.1868,0.25,,,
QGM,Half-Sibs,0.4361,0.25,,,
QGM,Half-Sibs,0.2026,0.25,,,
QGM,Half-Sibs,0.1127,0.25,,,
QGM,Half-Sibs,0.3801,0.25,,,
QGM,Half-Sibs,0.4647,0.25,,,
QGM,Half-Sibs,0.2619,0.25,,,
QGM,Half-Sibs,0.1654,0.25,,,
QGM,Half-Sibs,0.1262,0.25,,,
QGM,Half-Sibs,-0.0748,0.25,,,
QGM,Half-Sibs,0.2812,0.25,,,
QGM,Half-Sibs,0.2651,0.25,,,
QGM,Half-Sibs,0.3089,0.25,,,
QGM,Half-Sibs,0.1691,0.25,,,
QGM,Half-Sibs,0.212,0.25,,,
QGM,Half-Sibs,0.3387,0.25,,,
QGM,Half-Sibs,0.3717,0.25,,,
QGM,Half-Sibs,0.0816,0.25,,,
QGM,Half-Sibs,0.3027,0.25,,,
QGM,Half-Sibs,0.2713,0.25,,,
QGM,Half-Sibs,0.3453,0.25,,,
QGM,Half-Sibs,0.1221,0.25,,,
QGM,Half-Sibs,0.1198,0.25,,,
QGM,Half-Sibs,0.0863,0.25,,,
QGM,Half-Sibs,0.0178,0.25,,,
QGM,Half-Sibs,0.1163,0.25,,,
QGM,Half-Sibs,0.2912,0.25,,,
QGM,Half-Sibs,0.4596,0.25,,,
QGM,Half-Sibs,0.2453,0.25,,,
QGM,Half-Sibs,0.2868,0.25,,,
QGM,Half-Sibs,0.4935,0.25,,,
QGM,Half-Sibs,0.0439,0.25,,,
QGM,Half-Sibs,0.4162,0.25,,,
QGM,Half-Sibs,0.4264,0.25,,,
QGM,Half-Sibs,0.2798,0.25,,,
QGM,Half-Sibs,0.2802,0.25,,,
QGM,Half-Sibs,0.2932,0.25,,,
QGM,Half-Sibs,0.3286,0.25,,,
QGM,Half-Sibs,0.2476,0.25,,,
QGM,Half-Sibs,0.4911,0.25,,,
QGM,Half-Sibs,0.2864,0.25,,,
QGM,Half-Sibs,0.0673,0.25,,,
QGM,Half-Sibs,0.4564,0.25,,,
QGM,Half-Sibs,0.1796,0.25,,,
QGM,Half-Sibs,0.2205,0.25,,,
QGM,Half-Sibs,0.1448,0.25,,,
QGM,Half-Sibs,0.3758,0.25,,,
QGM,Half-Sibs,0.2496,0.25,,,
QGM,Half-Sibs,0.1805,0.25,,,
QGM,Half-Sibs,0.5311,0.25,,,
QGM,Half-Sibs,0.3596,0.25,,,
QGM,Half-Sibs,0.2276,0.25,,,
QGM,Half-Sibs,0.2492,0.25,,,
QGM,Half-Sibs,0.3646,0.25,,,
QGM,Half-Sibs,0.3969,0.25,,,
QGM,Half-Sibs,0.3169,0.25,,,
QGM,Half-Sibs,0.4781,0.25,,,
QGM,Half-Sibs,0.3459,0.25,,,
QGM,Half-Sibs,0.0135,0.25,,,
QGM,Half-Sibs,0.1647,0.25,,,
QGM,Half-Sibs,0.4636,0.25,,,
QGM,Half-Sibs,0.0556,0.25,,,
QGM,Half-Sibs,-0.1131,0.25,,,
QGM,Half-Sibs,-0.027,0.25,,,
QGM,Half-Sibs,0.1273,0.25,,,
QGM,Half-Sibs,0.1893,0.25,,,
QGM,Half-Sibs,0.0195,0.25,,,
QGM,Half-Sibs,0.1103,0.25,,,
QGM,Half-Sibs,0.3166,0.25,,,
QGM,Half-Sibs,0.3892,0.25,,,
QGM,Half-Sibs,0.3785,0.25,,,
QGM,Half-Sibs,0.2551,0.25,,,
QGM,Half-Sibs,0.2617,0.25,,,
QGM,Half-Sibs,0.2206,0.25,,,
QGM,Half-Sibs,0.4335,0.25,,,
QGM,Half-Sibs,0.1908,0.25,,,
QGM,Half-Sibs,0.2326,0.25,,,
QGM,Half-Sibs,0.0122,0.25,,,
QGM,Half-Sibs,0.0504,0.25,,,
QGM,Half-Sibs,0.3852,0.25,,,
QGM,Half-Sibs,0.1439,0.25,,,
QGM,Half-Sibs,-0.091,0.25,,,
QGM,Half-Sibs,0.1181,0.25,,,
QGM,Half-Sibs,0.1545,0.25,,,
QGM,Half-Sibs,0.119,0.25,,,
QGM,Half-Sibs,0.3381,0.25,,,
QGM,Half-Sibs,0.4427,0.25,,,
QGM,Half-Sibs,0.278,0.25,,,
QGM,Half-Sibs,0.1112,0.25,,,
QGM,Half-Sibs,0.1676,0.25,,,
QGM,Half-Sibs,0.4324,0.25,,,
QGM,Half-Sibs,0.1761,0.25,,,
QGM,Half-Sibs,0.1916,0.25,,,
QGM,Half-Sibs,0.1381,0.25,,,
QGM,Half-Sibs,0.2113,0.25,,,
QGM,Half-Sibs,0.2495,0.25,,,
QGM,Half-Sibs,0.2372,0.25,,,
QGM,Half-Sibs,0.3662,0.25,,,
QGM,Half-Sibs,0.2917,0.25,,,
QGM,Half-Sibs,0.5013,0.25,,,
QGM,Half-Sibs,0.109,0.25,,,
QGM,Half-Sibs,0.1939,0.25,,,
QGM,Half-Sibs,0.0923,0.25,,,
QGM,Half-Sibs,0.3637,0.25,,,
QGM,Half-Sibs,0.286,0.25,,,
QGM,Half-Sibs,0.2657,0.25,,,
QGM,Half-Sibs,0.0349,0.25,,,
QGM,Half-Sibs,-0.1309,0.25,,,
QGM,Half-Sibs,0.4956,0.25,,,
QGM,Half-Sibs,0.1151,0.25,,,
QGM,Half-Sibs,0.0696,0.25,,,
QGM,Half-Sibs,0.066,0.25,,,
QGM,Half-Sibs,0.5019,0.25,,,
QGM,Half-Sibs,0.5296,0.25,,,
QGM,Half-Sibs,0.2433,0.25,,,
QGM,Half-Sibs,0.011,0.25,,,
QGM,Half-Sibs,0.0681,0.25,,,
QGM,Half-Sibs,0.1177,0.25,,,
QGM,Half-Sibs,0.3247,0.25,,,
QGM,Half-Sibs,0.1158,0.25,,,
QGM,Half-Sibs,0.3395,0.25,,,
QGM,Half-Sibs,0.3331,0.25,,,
QGM,Half-Sibs,0.084,0.25,,,
QGM,Half-Sibs,0.2182,0.25,,,
QGM,Half-Sibs,0.3639,0.25,,,
QGM,Half-Sibs,0.4673,0.25,,,
QGM,Half-Sibs,0.0429,0.25,,,
QGM,Half-Sibs,0.2374,0.25,,,
QGM,Half-Sibs,0.4251,0.25,,,
QGM,Half-Sibs,0.132,0.25,,,
QGM,Half-Sibs,0.2867,0.25,,,
QGM,Half-Sibs,0.1192,0.25,,,
QGM,Half-Sibs,0.4819,0.25,,,
QGM,Half-Sibs,-0.0813,0.25,,,
QGM,Half-Sibs,0.2201,0.25,,,
QGM,Half-Sibs,0.4611,0.25,,,
QGM,Half-Sibs,0.3453,0.25,,,
QGM,Half-Sibs,0.3374,0.25,,,
QGM,Half-Sibs,0.4129,0.25,,,
QGM,Half-Sibs,-0.1005,0.25,,,
QGM,Half-Sibs,0.3088,0.25,,,
QGM,Half-Sibs,0.262,0.25,,,
QGM,Half-Sibs,0.3403,0.25,,,
QGM,Half-Sibs,0.3947,0.25,,,
QGM,Half-Sibs,0.3276,0.25,,,
QGM,Half-Sibs,0.2223,0.25,,,
QGM,Half-Sibs,0.3363,0.25,,,
QGM,Half-Sibs,0.4388,0.25,,,
QGM,Half-Sibs,0.1702,0.25,,,
QGM,Half-Sibs,0.0841,0.25,,,
QGM,Half-Sibs,0.2325,0.25,,,
QGM,Half-Sibs,0.4143,0.25,,,
QGM,Half-Sibs,0.2167,0.25,,,
QGM,Half-Sibs,0.4994,0.25,,,
QGM,Half-Sibs,0.3061,0.25,,,
QGM,Half-Sibs,0.5017,0.25,,,
QGM,Half-Sibs,0.143,0.25,,,
QGM,Half-Sibs,0.1238,0.25,,,
QGM,Half-Sibs,0.2171,0.25,,,
QGM,Half-Sibs,0.2076,0.25,,,
QGM,Half-Sibs,0.416,0.25,,,
QGM,Half-Sibs,0.0915,0.25,,,
QGM,Half-Sibs,0.1236,0.25,,,
QGM,Half-Sibs,0.3355,0.25,,,
QGM,Half-Sibs,0.2767,0.25,,,
QGM,Half-Sibs,0.2582,0.25,,,
QGM,Half-Sibs,0.3049,0.25,,,
QGM,Half-Sibs,0.2998,0.25,,,
QGM,Half-Sibs,0.1967,0.25,,,
QGM,Half-Sibs,0.1448,0.25,,,
QGM,Half-Sibs,0.3532,0.25,,,
QGM,Half-Sibs,0.13,0.25,,,
QGM,Half-Sibs,0.2294,0.25,,,
QGM,Half-Sibs,0.0921,0.25,,,
QGM,Half-Sibs,0.2993,0.25,,,
QGM,Half-Sibs,0.2896,0.25,,,
QGM,Half-Sibs,0.2773,0.25,,,
QGM,Half-Sibs,0.3498,0.25,,,
QGM,Half-Sibs,0.3367,0.25,,,
QGM,Half-Sibs,0.4743,0.25,,,
QGM,Half-Sibs,0.164,0.25,,,
QGM,Half-Sibs,0.0583,0.25,,,
QGM,Half-Sibs,0.1797,0.25,,,
QGM,Half-Sibs,-0.0129,0.25,,,
QGM,Half-Sibs,0.4735,0.25,,,
QGM,Half-Sibs,0.2081,0.25,,,
QGM,Half-Sibs,0.448,0.25,,,
QGM,Half-Sibs,0.2872,0.25,,,
QGM,Half-Sibs,0.474,0.25,,,
QGM,Half-Sibs,0.4673,0.25,,,
QGM,Half-Sibs,0.2793,0.25,,,
QGM,Half-Sibs,0.4003,0.25,,,
QGM,Half-Sibs,-0.1036,0.25,,,
QGM,Half-Sibs,0.1459,0.25,,,
QGM,Half-Sibs,0.2467,0.25,,,
