,Estimator,relationship,Relatedness_Value
239,LRM,Parent-Offspring,0.5201
240,LRM,Parent-Offspring,0.3365
241,LRM,Parent-Offspring,0.4829
242,LRM,Parent-Offspring,0.628
243,LRM,Parent-Offspring,0.6136
244,LRM,Parent-Offspring,0.4143
245,LRM,Parent-Offspring,0.3308
246,LRM,Parent-Offspring,0.6978
247,LRM,Parent-Offspring,0.5496
248,LRM,Parent-Offspring,0.6057
249,LRM,Parent-Offspring,0.501
250,LRM,Parent-Offspring,0.5817
251,LRM,Parent-Offspring,0.5616
252,LRM,Parent-Offspring,0.4359
253,LRM,Parent-Offspring,0.5069
254,LRM,Parent-Offspring,0.4603
255,LRM,Parent-Offspring,0.5613
256,LRM,Parent-Offspring,0.6241
257,LRM,Parent-Offspring,0.5562
258,LRM,Parent-Offspring,0.5137
259,LRM,Parent-Offspring,0.5661
260,LRM,Parent-Offspring,0.3524
261,LRM,Parent-Offspring,0.5838
262,LRM,Parent-Offspring,0.5624
263,LRM,Parent-Offspring,0.4261
264,LRM,Parent-Offspring,0.4903
265,LRM,Parent-Offspring,0.5458
266,LRM,Parent-Offspring,0.4351
267,LRM,Parent-Offspring,0.5125
268,LRM,Parent-Offspring,0.4179
269,LRM,Parent-Offspring,0.3524
270,LRM,Parent-Offspring,0.4463
271,LRM,Parent-Offspring,0.4685
272,LRM,Parent-Offspring,0.6585
273,LRM,Parent-Offspring,0.5317
274,LRM,Parent-Offspring,0.4484
275,LRM,Parent-Offspring,0.6097
276,LRM,Parent-Offspring,0.5923
277,LRM,Parent-Offspring,0.4317
278,LRM,Parent-Offspring,0.3378
279,LRM,Parent-Offspring,0.5452
280,LRM,Parent-Offspring,0.4619
281,LRM,Parent-Offspring,0.3869
282,LRM,Parent-Offspring,0.5328
283,LRM,Parent-Offspring,0.4769
284,LRM,Parent-Offspring,0.5214
285,LRM,Parent-Offspring,0.6223
286,LRM,Parent-Offspring,0.537
287,LRM,Parent-Offspring,0.274
288,LRM,Parent-Offspring,0.4981
289,LRM,Parent-Offspring,0.5783
290,LRM,Parent-Offspring,0.5262
291,LRM,Parent-Offspring,0.5943
292,LRM,Parent-Offspring,0.5047
293,LRM,Parent-Offspring,0.6599
294,LRM,Parent-Offspring,0.6201
295,LRM,Parent-Offspring,0.4176
296,LRM,Parent-Offspring,0.5236
297,LRM,Parent-Offspring,0.6314
298,LRM,Parent-Offspring,0.2653
299,LRM,Parent-Offspring,0.4599
300,LRM,Parent-Offspring,0.554
301,LRM,Parent-Offspring,0.5518
302,LRM,Parent-Offspring,0.26
303,LRM,Parent-Offspring,0.6254
304,LRM,Parent-Offspring,0.6247
305,LRM,Parent-Offspring,0.4665
306,LRM,Parent-Offspring,0.5261
307,LRM,Parent-Offspring,0.4983
308,LRM,Parent-Offspring,0.397
309,LRM,Parent-Offspring,0.5455
310,LRM,Parent-Offspring,0.4007
311,LRM,Parent-Offspring,0.6003
312,LRM,Parent-Offspring,0.6795
313,LRM,Parent-Offspring,0.4983
314,LRM,Parent-Offspring,0.3998
315,LRM,Parent-Offspring,0.5557
316,LRM,Parent-Offspring,0.3532
317,LRM,Parent-Offspring,0.3397
318,LRM,Parent-Offspring,0.2925
319,LRM,Parent-Offspring,0.5896
320,LRM,Parent-Offspring,0.476
321,LRM,Parent-Offspring,0.4457
322,LRM,Parent-Offspring,0.5398
323,LRM,Parent-Offspring,0.6725
324,LRM,Parent-Offspring,0.1452
325,LRM,Parent-Offspring,0.6629
326,LRM,Parent-Offspring,0.56
327,LRM,Parent-Offspring,0.5632
328,LRM,Parent-Offspring,0.5869
329,LRM,Parent-Offspring,0.6071
330,LRM,Parent-Offspring,0.5784
331,LRM,Parent-Offspring,0.7028
332,LRM,Parent-Offspring,0.5719
333,LRM,Parent-Offspring,0.5053
334,LRM,Parent-Offspring,0.5135
335,LRM,Parent-Offspring,0.5687
336,LRM,Parent-Offspring,0.3578
337,LRM,Parent-Offspring,0.4278
338,LRM,Parent-Offspring,0.6734
339,LRM,Parent-Offspring,0.6471
340,LRM,Parent-Offspring,0.4575
341,LRM,Parent-Offspring,0.338
342,LRM,Parent-Offspring,0.5895
343,LRM,Parent-Offspring,0.3961
344,LRM,Parent-Offspring,0.5825
345,LRM,Parent-Offspring,0.3806
346,LRM,Parent-Offspring,0.4038
347,LRM,Parent-Offspring,0.4969
348,LRM,Parent-Offspring,0.5378
349,LRM,Parent-Offspring,0.4078
350,LRM,Parent-Offspring,0.5073
351,LRM,Parent-Offspring,0.4062
352,LRM,Parent-Offspring,0.5715
353,LRM,Parent-Offspring,0.3871
354,LRM,Parent-Offspring,0.5341
355,LRM,Parent-Offspring,0.7403
356,LRM,Parent-Offspring,0.6534
357,LRM,Parent-Offspring,0.4192
358,LRM,Parent-Offspring,0.4247
359,LRM,Parent-Offspring,0.4185
360,LRM,Parent-Offspring,0.5481
361,LRM,Parent-Offspring,0.5449
362,LRM,Parent-Offspring,0.5332
363,LRM,Parent-Offspring,0.5986
364,LRM,Parent-Offspring,0.6078
365,LRM,Parent-Offspring,0.4344
366,LRM,Parent-Offspring,0.4552
367,LRM,Parent-Offspring,0.6644
368,LRM,Parent-Offspring,0.6258
369,LRM,Parent-Offspring,0.6122
370,LRM,Parent-Offspring,0.5103
371,LRM,Parent-Offspring,0.4646
372,LRM,Parent-Offspring,0.5341
373,LRM,Parent-Offspring,0.5858
374,LRM,Parent-Offspring,0.26
375,LRM,Parent-Offspring,0.7113
376,LRM,Parent-Offspring,0.4443
377,LRM,Parent-Offspring,0.5179
378,LRM,Parent-Offspring,0.3208
379,LRM,Parent-Offspring,0.3898
380,LRM,Parent-Offspring,0.5105
381,LRM,Parent-Offspring,0.7744
382,LRM,Parent-Offspring,0.4412
383,LRM,Parent-Offspring,0.5228
384,LRM,Parent-Offspring,0.569
385,LRM,Parent-Offspring,0.6306
386,LRM,Parent-Offspring,0.3057
387,LRM,Parent-Offspring,0.505
388,LRM,Parent-Offspring,0.4791
389,LRM,Parent-Offspring,0.5599
390,LRM,Parent-Offspring,0.5746
391,LRM,Parent-Offspring,0.4703
392,LRM,Parent-Offspring,0.421
393,LRM,Parent-Offspring,0.445
394,LRM,Parent-Offspring,0.6591
395,LRM,Parent-Offspring,0.6654
396,LRM,Parent-Offspring,0.6752
397,LRM,Parent-Offspring,0.7029
398,LRM,Parent-Offspring,0.3838
399,LRM,Parent-Offspring,0.283
400,LRM,Parent-Offspring,0.4047
401,LRM,Parent-Offspring,0.3096
402,LRM,Parent-Offspring,0.4797
403,LRM,Parent-Offspring,0.6825
404,LRM,Parent-Offspring,0.3818
405,LRM,Parent-Offspring,0.5684
406,LRM,Parent-Offspring,0.5373
407,LRM,Parent-Offspring,0.539
408,LRM,Parent-Offspring,0.4157
409,LRM,Parent-Offspring,0.3318
410,LRM,Parent-Offspring,0.5126
411,LRM,Parent-Offspring,0.4884
412,LRM,Parent-Offspring,0.5
413,LRM,Parent-Offspring,0.5592
414,LRM,Parent-Offspring,0.5676
415,LRM,Parent-Offspring,0.613
416,LRM,Parent-Offspring,0.5353
417,LRM,Parent-Offspring,0.5559
418,LRM,Parent-Offspring,0.6094
419,LRM,Parent-Offspring,0.5712
420,LRM,Parent-Offspring,0.4851
421,LRM,Parent-Offspring,0.619
422,LRM,Parent-Offspring,0.5176
423,LRM,Parent-Offspring,0.5285
424,LRM,Parent-Offspring,0.4402
425,LRM,Parent-Offspring,0.5499
426,LRM,Parent-Offspring,0.6442
427,LRM,Parent-Offspring,0.5207
428,LRM,Parent-Offspring,0.6048
429,LRM,Parent-Offspring,0.5078
430,LRM,Parent-Offspring,0.6569
431,LRM,Parent-Offspring,0.747
432,LRM,Parent-Offspring,0.4632
433,LRM,Parent-Offspring,0.6142
434,LRM,Parent-Offspring,0.3374
435,LRM,Parent-Offspring,0.4529
436,LRM,Parent-Offspring,0.5479
437,LRM,Parent-Offspring,0.5983
438,LRM,Parent-Offspring,0.5839
439,LRM,Parent-Offspring,0.6895
440,LRM,Parent-Offspring,0.5239
441,LRM,Parent-Offspring,0.455
442,LRM,Parent-Offspring,0.2471
443,LRM,Parent-Offspring,0.4114
444,LRM,Parent-Offspring,0.3975
445,LRM,Parent-Offspring,0.4146
446,LRM,Parent-Offspring,0.4617
447,LRM,Parent-Offspring,0.4858
448,LRM,Parent-Offspring,0.3335
449,LRM,Parent-Offspring,0.4535
450,LRM,Parent-Offspring,0.732
451,LRM,Parent-Offspring,0.483
452,LRM,Parent-Offspring,0.5453
453,LRM,Parent-Offspring,0.4039
454,LRM,Parent-Offspring,0.4885
455,LRM,Parent-Offspring,0.5541
456,LRM,Parent-Offspring,0.4278
457,LRM,Parent-Offspring,0.7749
458,LRM,Parent-Offspring,0.4067
459,LRM,Parent-Offspring,0.5012
460,LRM,Parent-Offspring,0.5927
461,LRM,Parent-Offspring,0.4518
462,LRM,Parent-Offspring,0.6733
463,LRM,Parent-Offspring,0.6011
464,LRM,Parent-Offspring,0.7256
465,LRM,Parent-Offspring,0.3315
466,LRM,Parent-Offspring,0.4356
467,LRM,Parent-Offspring,0.6125
468,LRM,Parent-Offspring,0.5786
469,LRM,Parent-Offspring,0.6027
470,LRM,Parent-Offspring,0.6471
471,LRM,Parent-Offspring,0.381
472,LRM,Parent-Offspring,0.6211
473,LRM,Parent-Offspring,0.3799
474,LRM,Parent-Offspring,0.6661
475,LRM,Parent-Offspring,0.5236
476,LRM,Parent-Offspring,0.3186
477,LRM,Parent-Offspring,0.4936
478,LRM,Parent-Offspring,0.3482
479,LRM,Parent-Offspring,0.4767
480,LRM,Parent-Offspring,0.4325
481,LRM,Parent-Offspring,0.4915
482,LRM,Parent-Offspring,0.4596
483,LRM,Parent-Offspring,0.7876
484,LRM,Parent-Offspring,0.5456
485,LRM,Parent-Offspring,0.4036
486,LRM,Parent-Offspring,0.4343
487,LRM,Parent-Offspring,0.4654
488,LRM,Parent-Offspring,0.4086
489,LRM,Parent-Offspring,0.4676
490,LRM,Parent-Offspring,0.5336
491,LRM,Parent-Offspring,0.3715
492,LRM,Parent-Offspring,0.4046
493,LRM,Parent-Offspring,0.6241
494,LRM,Parent-Offspring,0.3728
495,LRM,Parent-Offspring,0.5828
496,LRM,Parent-Offspring,0.6042
497,LRM,Parent-Offspring,0.4561
498,LRM,Parent-Offspring,0.4048
499,LRM,Parent-Offspring,0.6262
500,LRM,Parent-Offspring,0.4572
501,LRM,Parent-Offspring,0.5603
502,LRM,Parent-Offspring,0.4592
503,LRM,Parent-Offspring,0.4764
504,LRM,Parent-Offspring,0.6025
505,LRM,Parent-Offspring,0.2628
506,LRM,Parent-Offspring,0.6388
507,LRM,Parent-Offspring,0.5755
508,LRM,Parent-Offspring,0.4578
509,LRM,Parent-Offspring,0.7025
510,LRM,Parent-Offspring,0.6855
511,LRM,Parent-Offspring,0.5726
512,LRM,Parent-Offspring,0.5634
513,LRM,Parent-Offspring,0.6071
514,LRM,Parent-Offspring,0.4654
515,LRM,Parent-Offspring,0.6591
516,LRM,Parent-Offspring,0.6793
517,LRM,Parent-Offspring,0.6086
518,LRM,Parent-Offspring,0.3792
519,LRM,Parent-Offspring,0.352
520,LRM,Parent-Offspring,0.5519
521,LRM,Parent-Offspring,0.5945
522,LRM,Parent-Offspring,0.5334
523,LRM,Parent-Offspring,0.4614
524,LRM,Parent-Offspring,0.4653
525,LRM,Parent-Offspring,0.3939
526,LRM,Parent-Offspring,0.5238
527,LRM,Parent-Offspring,0.3138
528,LRM,Parent-Offspring,0.6469
529,LRM,Parent-Offspring,0.4138
530,LRM,Parent-Offspring,0.5784
531,LRM,Parent-Offspring,0.5875
532,LRM,Parent-Offspring,0.4504
533,LRM,Parent-Offspring,0.3365
534,LRM,Parent-Offspring,0.5047
535,LRM,Parent-Offspring,0.4519
536,LRM,Parent-Offspring,0.5277
537,LRM,Parent-Offspring,0.5246
538,LRM,Parent-Offspring,0.4068
539,LRM,Parent-Offspring,0.5157
540,LRM,Parent-Offspring,0.5476
541,LRM,Parent-Offspring,0.4055
542,LRM,Parent-Offspring,0.2719
543,LRM,Parent-Offspring,0.7576
544,LRM,Parent-Offspring,0.4287
545,LRM,Parent-Offspring,0.4368
546,LRM,Parent-Offspring,0.366
547,LRM,Parent-Offspring,0.7717
548,LRM,Parent-Offspring,0.5357
549,LRM,Parent-Offspring,0.5438
550,LRM,Parent-Offspring,0.6485
551,LRM,Parent-Offspring,0.4624
552,LRM,Parent-Offspring,0.7257
553,LRM,Parent-Offspring,0.5659
554,LRM,Parent-Offspring,0.5804
555,LRM,Parent-Offspring,0.3412
556,LRM,Parent-Offspring,0.6248
557,LRM,Parent-Offspring,0.4355
558,LRM,Parent-Offspring,0.4902
559,LRM,Parent-Offspring,0.5302
560,LRM,Parent-Offspring,0.6306
561,LRM,Parent-Offspring,0.555
562,LRM,Parent-Offspring,0.2897
563,LRM,Parent-Offspring,0.5405
564,LRM,Parent-Offspring,0.4326
565,LRM,Parent-Offspring,0.6104
566,LRM,Parent-Offspring,0.5346
567,LRM,Parent-Offspring,0.2208
568,LRM,Parent-Offspring,0.511
569,LRM,Parent-Offspring,0.4502
570,LRM,Parent-Offspring,0.4654
571,LRM,Parent-Offspring,0.7125
572,LRM,Parent-Offspring,0.495
573,LRM,Parent-Offspring,0.5761
574,LRM,Parent-Offspring,0.5242
575,LRM,Parent-Offspring,0.6266
576,LRM,Parent-Offspring,0.5271
577,LRM,Parent-Offspring,0.3296
578,LRM,Parent-Offspring,0.5958
579,LRM,Parent-Offspring,0.4286
580,LRM,Parent-Offspring,0.6759
581,LRM,Parent-Offspring,0.4661
582,LRM,Parent-Offspring,0.4802
583,LRM,Parent-Offspring,0.5571
584,LRM,Parent-Offspring,0.479
585,LRM,Parent-Offspring,0.5452
586,LRM,Parent-Offspring,0.2362
587,LRM,Parent-Offspring,0.4029
588,LRM,Parent-Offspring,0.3135
589,LRM,Parent-Offspring,0.5116
590,LRM,Parent-Offspring,0.4882
591,LRM,Parent-Offspring,0.5371
592,LRM,Parent-Offspring,0.4596
593,LRM,Parent-Offspring,0.5477
594,LRM,Parent-Offspring,0.4475
595,LRM,Parent-Offspring,0.6469
596,LRM,Parent-Offspring,0.5393
597,LRM,Parent-Offspring,0.6121
598,LRM,Parent-Offspring,0.4333
599,LRM,Parent-Offspring,0.2876
600,LRM,Parent-Offspring,0.7589
601,QGM,Parent-Offspring,0.5128
602,QGM,Parent-Offspring,0.6352
603,QGM,Parent-Offspring,0.4627
604,QGM,Parent-Offspring,0.4878
605,QGM,Parent-Offspring,0.3099
606,QGM,Parent-Offspring,0.4349
607,QGM,Parent-Offspring,0.7162
608,QGM,Parent-Offspring,0.4011
609,QGM,Parent-Offspring,0.5168
610,QGM,Parent-Offspring,0.4841
611,QGM,Parent-Offspring,0.4003
612,QGM,Parent-Offspring,0.4413
613,QGM,Parent-Offspring,0.4673
614,QGM,Parent-Offspring,0.26
615,QGM,Parent-Offspring,0.505
616,QGM,Parent-Offspring,0.5456
617,QGM,Parent-Offspring,0.2758
618,QGM,Parent-Offspring,0.3699
619,QGM,Parent-Offspring,0.5891
620,QGM,Parent-Offspring,0.3561
621,QGM,Parent-Offspring,0.533
622,QGM,Parent-Offspring,0.4216
623,QGM,Parent-Offspring,0.4139
624,QGM,Parent-Offspring,0.391
625,QGM,Parent-Offspring,0.4434
626,QGM,Parent-Offspring,0.5334
627,QGM,Parent-Offspring,0.5291
628,QGM,Parent-Offspring,0.4684
629,QGM,Parent-Offspring,0.6447
630,QGM,Parent-Offspring,0.4688
631,QGM,Parent-Offspring,0.4326
632,QGM,Parent-Offspring,0.5196
633,QGM,Parent-Offspring,0.6193
634,QGM,Parent-Offspring,0.5537
635,QGM,Parent-Offspring,0.4135
636,QGM,Parent-Offspring,0.4158
637,QGM,Parent-Offspring,0.5635
638,QGM,Parent-Offspring,0.4786
639,QGM,Parent-Offspring,0.3683
640,QGM,Parent-Offspring,0.3179
641,QGM,Parent-Offspring,0.5539
642,QGM,Parent-Offspring,0.5414
643,QGM,Parent-Offspring,0.3962
644,QGM,Parent-Offspring,0.4168
645,QGM,Parent-Offspring,0.6312
646,QGM,Parent-Offspring,0.4618
647,QGM,Parent-Offspring,0.4849
648,QGM,Parent-Offspring,0.4078
649,QGM,Parent-Offspring,0.5804
650,QGM,Parent-Offspring,0.4679
651,QGM,Parent-Offspring,0.489
652,QGM,Parent-Offspring,0.3578
653,QGM,Parent-Offspring,0.5283
654,QGM,Parent-Offspring,0.4191
655,QGM,Parent-Offspring,0.5259
656,QGM,Parent-Offspring,0.4649
657,QGM,Parent-Offspring,0.4902
658,QGM,Parent-Offspring,0.5251
659,QGM,Parent-Offspring,0.5223
660,QGM,Parent-Offspring,0.5107
661,QGM,Parent-Offspring,0.5065
662,QGM,Parent-Offspring,0.4553
663,QGM,Parent-Offspring,0.3558
664,QGM,Parent-Offspring,0.5814
665,QGM,Parent-Offspring,0.2925
666,QGM,Parent-Offspring,0.5918
667,QGM,Parent-Offspring,0.5692
668,QGM,Parent-Offspring,0.4758
669,QGM,Parent-Offspring,0.5356
670,QGM,Parent-Offspring,0.6005
671,QGM,Parent-Offspring,0.583
672,QGM,Parent-Offspring,0.6323
673,QGM,Parent-Offspring,0.4354
674,QGM,Parent-Offspring,0.6184
675,QGM,Parent-Offspring,0.4462
676,QGM,Parent-Offspring,0.5931
677,QGM,Parent-Offspring,0.4163
678,QGM,Parent-Offspring,0.3972
679,QGM,Parent-Offspring,0.4441
680,QGM,Parent-Offspring,0.5241
681,QGM,Parent-Offspring,0.5365
682,QGM,Parent-Offspring,0.4828
683,QGM,Parent-Offspring,0.6319
684,QGM,Parent-Offspring,0.2873
685,QGM,Parent-Offspring,0.3729
686,QGM,Parent-Offspring,0.3962
687,QGM,Parent-Offspring,0.4016
688,QGM,Parent-Offspring,0.5806
689,QGM,Parent-Offspring,0.3976
690,QGM,Parent-Offspring,0.6091
691,QGM,Parent-Offspring,0.3521
692,QGM,Parent-Offspring,0.5434
693,QGM,Parent-Offspring,0.5859
694,QGM,Parent-Offspring,0.4725
695,QGM,Parent-Offspring,0.4267
696,QGM,Parent-Offspring,0.6144
697,QGM,Parent-Offspring,0.3569
698,QGM,Parent-Offspring,0.4079
699,QGM,Parent-Offspring,0.5531
700,QGM,Parent-Offspring,0.4606
